Emp ID,First Name,Middle Initial,Last Name,Gender,EMail,Date of Birth,Age,Weight,Date of Joining,Quarter of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,Age in Company,Salary,Last % Hike,SSN,Phone Num,Place Name,County,City,State,Zip
198429,Serafina,I,Bumgarner,F,serafina.bumgarner@exxonmobil.com,9/21/1982,34.87,45,2/1/2008,Q1,2008,2,February,Feb,1,9.49,69294,14%,063-02-3609,212-376-9125,Clymer,Chautauqua,Clymer,NY,14724
178566,Juliette,M,Rojo,F,juliette.rojo@yahoo.co.uk,5/8/1967,50.26,55,6/4/2011,Q2,2011,6,June,Jun,4,6.15,193912,27%,671-48-9915,215-254-9594,Glenside,Montgomery,Glenside,PA,19038
647173,Milan,F,Krawczyk,M,milan.krawczyk@hotmail.com,4/4/1980,37.34,68,1/19/2012,Q1,2012,1,January,Jan,19,5.53,123681,11%,527-99-6328,240-748-4111,Gibson Island,Anne Arundel,Gibson Island,MD,21056
847634,Elmer,R,Jason,M,elmer.jason@yahoo.com,4/9/1996,21.32,78,5/28/2017,Q2,2017,5,May,May,28,0.17,93504,26%,063-02-5994,236-751-5963,Mendota,Washington,Mendota,VA,24270
260736,Zelda,P,Forest,F,zelda.forest@ibm.com,11/27/1959,57.71,57,1/28/2014,Q1,2014,1,January,Jan,28,3.5,176642,29%,421-67-5501,212-268-4076,Schenectady,Schenectady,Schenectady,NY,12306
811306,Rhett,P,Wan,M,rhett.wan@hotmail.com,7/14/1976,41.07,71,1/21/2009,Q1,2009,1,January,Jan,21,8.52,59406,25%,608-87-8674,209-984-3789,Selma,Fresno,Selma,CA,93662
956633,Hal,H,Farrow,M,hal.farrow@cox.net,3/15/1967,50.41,87,2/25/1991,Q1,1991,2,February,Feb,25,26.44,164580,21%,661-22-0722,209-550-0139,Modesto,Stanislaus,Modesto,CA,95353
629539,Del,I,Fernandez,M,del.fernandez@hotmail.com,8/13/1991,25.98,60,4/7/2016,Q2,2016,4,April,Apr,7,1.31,138662,25%,510-33-5541,216-900-3642,Kent,Portage,Kent,OH,44243
784160,Corey,A,Jackman,M,corey.jackman@gmail.com,4/12/1959,58.33,80,6/29/1984,Q2,1984,6,June,Jun,29,33.1,57616,21%,651-62-1513,212-389-8573,Jamaica,Jamaica,Jamaica,NY,11480
744723,Bibi,H,Paddock,F,bibi.paddock@yahoo.co.in,10/20/1991,25.79,52,11/2/2016,Q4,2016,11,November,Nov,2,0.73,87148,0%,311-35-3566,423-355-3751,Rickman,Overton,Rickman,TN,38580
423093,Eric,O,Manning,M,eric.manning@yahoo.com,11/2/1980,36.76,64,10/28/2002,Q4,2002,10,October,Oct,28,14.76,149363,4%,647-21-1863,319-913-5811,Clermont,Fayette,Clermont,IA,52135
207808,Renetta,T,Hafner,F,renetta.hafner@aol.com,1/29/1975,42.52,50,8/22/1998,Q3,1998,8,August,Aug,22,18.95,180289,14%,539-71-9884,239-664-4998,Fort Lauderdale,Broward,Fort Lauderdale,FL,33335
338634,Paz,T,Pearman,F,paz.pearman@gmail.com,2/28/1960,57.45,46,5/25/1982,Q2,1982,5,May,May,25,35.2,144804,25%,665-22-7253,319-435-3438,Garnavillo,Clayton,Garnavillo,IA,52049
324573,Ardath,Q,Forman,F,ardath.forman@gmail.com,11/12/1982,34.73,56,10/16/2009,Q4,2009,10,October,Oct,16,7.79,189373,17%,449-99-5082,229-447-5924,Athens,Clarke,Athens,GA,30602
953724,Nanci,D,Osorio,F,nanci.osorio@hotmail.com,7/9/1982,35.08,44,11/7/2003,Q4,2003,11,November,Nov,7,13.73,71321,26%,571-99-4191,603-298-3198,Lincoln,Grafton,Lincoln,NH,3251
138700,Maricela,H,Simard,F,maricela.simard@gmail.com,7/21/1988,29.04,49,9/25/2016,Q3,2016,9,September,Sep,25,0.84,88513,20%,157-23-8970,252-383-7726,Ingold,Sampson,Ingold,NC,28446
644265,Avelina,I,Stoner,F,avelina.stoner@exxonmobil.com,10/1/1988,28.84,42,11/30/2010,Q4,2010,11,November,Nov,30,6.66,157826,20%,532-71-2239,215-329-1990,Salina,Westmoreland,Salina,PA,15680
223871,Christene,O,Mattison,F,christene.mattison@gmail.com,9/14/1990,26.89,46,9/13/2015,Q3,2015,9,September,Sep,13,1.87,177224,6%,169-86-8872,314-561-9256,Alba,Jasper,Alba,MO,64830
807262,Stefan,O,Maeda,M,stefan.maeda@yahoo.com,3/23/1990,27.37,57,11/5/2011,Q4,2011,11,November,Nov,5,5.73,67028,25%,312-35-8549,225-889-6869,Slidell,St. Tammany,Slidell,LA,70461
368234,Gillian,T,Winter,F,gillian.winter@gmail.com,1/17/1960,57.57,48,11/28/1984,Q4,1984,11,November,Nov,28,32.68,103619,10%,486-29-0402,505-325-2023,Alamogordo,Otero,Alamogordo,NM,88310
807442,Ed,E,Ferrari,M,ed.ferrari@gmail.com,9/27/1981,35.86,51,2/15/2015,Q1,2015,2,February,Feb,15,2.45,145831,1%,493-29-4894,210-319-0049,Gardendale,Ector,Gardendale,TX,79758
956778,Jewell,L,Thies,F,jewell.thies@aol.com,2/16/1991,26.46,51,4/28/2017,Q2,2017,4,April,Apr,28,0.25,153248,25%,112-98-0744,405-727-5191,Oklahoma City,Oklahoma City,Oklahoma City,OK,73100
496781,Jonathan,Z,Rosa,M,jonathan.rosa@gmail.com,2/19/1981,36.46,61,7/23/2010,Q3,2010,7,July,Jul,23,7.02,198838,21%,276-17-7191,236-696-3896,Falls Church,Fairfax,Falls Church,VA,22047
301629,Ruben,L,Weissman,M,ruben.weissman@gmail.com,12/28/1995,21.6,84,1/3/2017,Q1,2017,1,January,Jan,3,0.56,48543,22%,729-28-4437,201-979-0583,Elmwood Park,Bergen,Elmwood Park,NJ,7407
668065,Deja,H,Niemeyer,F,deja.niemeyer@gmail.com,9/4/1961,55.93,41,6/5/2012,Q2,2012,6,June,Jun,5,5.15,130000,9%,191-86-7546,210-777-5935,Evadale,Jasper,Evadale,TX,77615
836931,Selene,S,Ford,F,selene.ford@aol.com,3/23/1992,25.36,42,10/7/2013,Q4,2013,10,October,Oct,7,3.81,143902,6%,127-98-1656,203-799-7675,Hartford,Hartford,Hartford,CT,6101
914698,Janeen,M,Norman,F,janeen.norman@gmail.com,1/28/1989,28.52,53,1/5/2012,Q1,2012,1,January,Jan,5,5.56,117383,17%,669-48-8772,803-953-3848,Columbia,Richland,Columbia,SC,29224
872750,Johnnie,J,Ibarra,M,johnnie.ibarra@aol.com,1/10/1972,45.58,71,4/14/2013,Q2,2013,4,April,Apr,14,4.29,181385,15%,439-99-8990,209-862-8601,San Diego,San Diego,San Diego,CA,92142
813428,Emerson,L,Sands,M,emerson.sands@gmail.com,7/8/1978,39.08,76,1/1/2015,Q1,2015,1,January,Jan,1,2.57,106048,2%,202-84-1432,231-399-0470,Dowagiac,Cass,Dowagiac,MI,49047
380228,Oswaldo,V,Dodd,M,oswaldo.dodd@gmail.com,11/24/1975,41.7,88,11/14/1998,Q4,1998,11,November,Nov,14,18.72,92047,25%,047-15-2729,229-954-3152,Harrison,Washington,Harrison,GA,31035
791100,Leone,Y,Buss,F,leone.buss@yahoo.co.uk,1/31/1968,49.52,56,12/31/1996,Q4,1996,12,December,Dec,31,20.59,44080,5%,729-28-3357,207-521-8795,Bryant Pond,Oxford,Bryant Pond,ME,4219
613551,Jay,Y,Shields,M,jay.shields@gmail.com,3/11/1981,36.41,70,8/26/2013,Q3,2013,8,August,Aug,26,3.92,167893,15%,299-15-4635,303-815-3774,Denver,Jefferson,Denver,CO,80215
147663,Douglass,E,Corrigan,M,douglass.corrigan@rediffmail.com,3/17/1973,44.39,60,2/19/2015,Q1,2015,2,February,Feb,19,2.44,86718,22%,498-29-1692,217-809-6973,Saint Charles,Kane,Saint Charles,IL,60174
707600,Sherita,M,Baugh,F,sherita.baugh@gmail.com,4/20/1995,22.29,42,8/17/2016,Q3,2016,8,August,Aug,17,0.95,49450,5%,441-29-0236,319-796-0569,Wheatland,Clinton,Wheatland,IA,52777
596529,Lana,N,Arbuckle,F,lana.arbuckle@shaw.ca,10/22/1967,49.8,47,11/11/1996,Q4,1996,11,November,Nov,11,20.72,193628,10%,226-99-7414,405-584-3309,Oklahoma City,Oklahoma,Oklahoma City,OK,73119
834635,Deloise,T,Oyler,F,deloise.oyler@yahoo.com,9/4/1963,53.93,40,1/6/2015,Q1,2015,1,January,Jan,6,2.56,173977,14%,563-99-9596,216-204-6295,Newbury,Geauga,Newbury,OH,44065
794524,Armand,O,Fortenberry,M,armand.fortenberry@sbcglobal.net,1/20/1992,25.54,82,2/17/2017,Q1,2017,2,February,Feb,17,0.44,184287,24%,474-55-2375,212-853-1265,Windham,Greene,Windham,NY,12496
392234,Monty,D,Hail,M,monty.hail@gmail.com,6/21/1960,57.14,54,10/30/1983,Q4,1983,10,October,Oct,30,33.77,89286,9%,322-11-0608,339-255-1370,Springfield,Hampden,Springfield,MA,1138
444753,Judith,G,Owen,F,judith.owen@gmail.com,2/14/1958,59.49,47,5/17/1982,Q2,1982,5,May,May,17,35.22,76503,13%,244-99-8820,207-252-4459,Biddeford,York,Biddeford,ME,4007
361359,Laureen,Q,Lambert,F,laureen.lambert@exxonmobil.com,2/23/1960,57.47,52,7/31/2007,Q3,2007,7,July,Jul,31,10,78201,6%,351-08-4760,217-920-8861,Chicago,Cook,Chicago,IL,60678
777936,Nila,W,Traylor,F,nila.traylor@yahoo.com,5/6/1972,45.26,46,4/23/1998,Q2,1998,4,April,Apr,23,19.28,93058,22%,437-99-1434,212-404-1666,Rochester,Monroe,Rochester,NY,14608
529020,Bernard,P,Bradshaw,M,bernard.bradshaw@yahoo.co.uk,8/18/1969,47.98,70,3/31/2002,Q1,2002,3,March,Mar,31,15.34,98634,7%,224-99-5432,240-682-9499,Greenbelt,Prince George's,Greenbelt,MD,20770
884439,Micheal,A,Sarmiento,F,micheal.sarmiento@aol.com,7/17/1965,52.07,60,3/21/1991,Q1,1991,3,March,Mar,21,26.37,81467,14%,135-25-1858,314-960-1816,Bonne Terre,St. Francois,Bonne Terre,MO,63628
269950,Seth,B,Bilodeau,M,seth.bilodeau@bellsouth.net,5/5/1975,42.26,51,7/6/2002,Q3,2002,7,July,Jul,6,15.07,164287,25%,635-31-8665,231-279-6667,Lake Ann,Benzie,Lake Ann,MI,49650
258110,Tai,O,Saavedra,F,tai.saavedra@hotmail.com,9/15/1995,21.88,43,9/15/2016,Q3,2016,9,September,Sep,15,0.87,51872,1%,099-02-5730,215-358-8995,Westmoreland City,Westmoreland,Westmoreland City,PA,15692
248437,Tamra,A,Alessi,F,tamra.alessi@outlook.com,11/19/1977,39.72,44,11/8/2004,Q4,2004,11,November,Nov,8,12.73,90981,6%,623-85-6451,385-958-1406,Helper,Carbon,Helper,UT,84526
357480,Shenika,R,Crittenden,F,shenika.crittenden@walmart.com,10/9/1975,41.83,54,5/27/1998,Q2,1998,5,May,May,27,19.18,58060,3%,546-99-2214,225-868-7449,Powhatan,Natchitoches,Powhatan,LA,71066
845835,Bernard,Q,Fessler,M,bernard.fessler@hotmail.co.uk,7/31/1958,59.03,63,4/17/1980,Q2,1980,4,April,Apr,17,37.3,93610,10%,479-41-2508,219-322-7409,South Milford,LaGrange,South Milford,IN,46786
878763,Ernest,N,Chasse,M,ernest.chasse@gmail.com,10/11/1995,21.81,87,7/16/2017,Q3,2017,7,July,Jul,16,0.03,86598,11%,108-98-6029,303-439-6575,Littleton,Douglas,Littleton,CO,80124
452667,Jeffery,D,Girard,M,jeffery.girard@outlook.com,8/13/1972,44.99,66,6/17/1998,Q2,1998,6,June,Jun,17,19.13,78719,23%,484-41-0566,603-385-6031,Freedom,Carroll,Freedom,NH,3836
879556,Christoper,I,Moye,M,christoper.moye@aol.com,3/6/1992,25.41,58,8/24/2013,Q3,2013,8,August,Aug,24,3.93,179104,3%,413-99-1985,319-859-5930,Oakville,Louisa,Oakville,IA,52646
541976,Kelley,Z,Greening,M,kelley.greening@rediffmail.com,2/26/1979,38.44,81,6/22/2001,Q2,2001,6,June,Jun,22,16.11,157705,18%,056-02-5142,215-615-1281,Gifford,McKean,Gifford,PA,16732
892120,Ernestine,U,Beall,F,ernestine.beall@aol.com,7/28/1972,45.03,48,11/20/2005,Q4,2005,11,November,Nov,20,11.69,92635,4%,511-33-2006,215-994-0226,Doylesburg,Franklin,Doylesburg,PA,17219
662814,Archie,R,Folse,M,archie.folse@outlook.com,12/20/1992,24.62,68,1/2/2016,Q1,2016,1,January,Jan,2,1.57,145647,5%,254-99-4830,209-591-4822,Strathmore,Tulare,Strathmore,CA,93267
609576,Ronny,C,Legault,M,ronny.legault@gmail.com,4/30/1977,40.27,68,5/2/2010,Q2,2010,5,May,May,2,7.24,83203,29%,710-18-4670,314-345-4329,Bates City,Lafayette,Bates City,MO,64011
492759,Eloy,V,Brune,M,eloy.brune@aol.com,12/28/1972,44.61,84,2/6/2015,Q1,2015,2,February,Feb,6,2.47,170760,5%,657-36-8074,229-549-0978,Damascus,Damascus,Damascus,GA,39841
283912,Melani,A,Ruelas,F,melani.ruelas@gmail.com,1/4/1973,44.59,55,8/15/2007,Q3,2007,8,August,Aug,15,9.96,117415,9%,008-94-7237,803-594-8265,Johns Island,Charleston,Johns Island,SC,29457
532795,Carlo,B,Shotwell,M,carlo.shotwell@gmail.com,6/11/1993,24.15,90,9/23/2015,Q3,2015,9,September,Sep,23,1.85,79470,4%,355-08-1456,212-431-1725,New York City,New York,New York City,NY,10112
863566,Roland,Z,Antonio,M,roland.antonio@hotmail.com,5/28/1989,28.19,76,1/8/2015,Q1,2015,1,January,Jan,8,2.55,137241,22%,697-16-0179,209-559-2215,Brea,Brea,Brea,CA,92622
